classTypeCode,description
0,ADMINISTRATIVE WITHDRAWAL
100,STRAIGHT WHISKY
101,STRAIGHT BOURBON WHISKY
102,STRAIGHT RYE WHISKY
103,STRAIGHT CORN WHISKY
104,RUM LEMON FLAVORED
105,RUM CHERRY FLAVORED
106,RUM CHOCOLATE FLAVORED
107,RUM MINT FLAVORED
108,RUM PEPPERMINT FLAVORED
109,OTHER STRAIGHT WHISKY
110,WHISKY BOTTLED IN BOND (BIB)
111,BOURBON WHISKY BIB
112,RYE WHISKY BIB
113,CORN WHISKY BIB
117,STRAIGHT MALT WHISKY
118,MALT WHISKY
119,OTHER WHISKY BIB
120,STRAIGHT WHISKY BLENDS
121,STRAIGHT BOURBON WHISKY BLENDS
122,STRAIGHT RYE WHISKY BLENDS
123,STRAIGHT CORN WHISKY BLENDS
129,OTHER STRAIGHT BLENDED WHISKY
130,WHISKY BLENDS
131,BLENDED BOURBON WHISKY
132,BLENDED RYE WHISKY
133,BLENDED CORN WHISKY
134,BLENDED LIGHT WHISKY
137,BLENDED WHISKY
138,DILUTED BLENDED WHISKY
139,OTHER WHISKY BLENDS
140,WHISKY
141,BOURBON WHISKY
142,RYE WHISKY
143,CORN WHISKY
144,LIGHT WHISKY
146,WHISKY PROPRIETARY
147,SPIRIT WHISKY
148,DILUTED WHISKY
149,OTHER WHISKY (FLAVORED)
150,SCOTCH WHISKY
151,SCOTCH WHISKY FB
152,SCOTCH WHISKY USB
153,SINGLE MALT SCOTCH WHISKY
154,UNBLENDED SCOTCH WHISKY USB
157,DILUTED SCOTCH WHISKY FB
158,DILUTED SCOTCH WHISKY USB
160,CANADIAN WHISKY
161,CANADIAN WHISKY FB
162,CANADIAN WHISKY USB
165,STRAIGHT AMERICAN SINGLE MALT
166,AMERICAN SINGLE MALT WHISKEY
167,DILUTED CANADIAN WHISKY FB
168,DILUTED CANADIAN WHISKY USB
170,IRISH WHISKY
171,IRISH WHISKY FB
172,IRISH WHISKY USB
177,DILUTED IRISH WHISKY FB
178,DILUTED IRISH WHISKY USB
181,WHISKY ORANGE FLAVORED
182,WHISKY GRAPE FLAVORED
183,WHISKY LIME FLAVORED
184,WHISKY LEMON FLAVORED
185,WHISKY CHERRY FLAVORED
186,WHISKY CHOCOLATE FLAVORED
187,WHISKY MINT FLAVORED
188,WHISKY PEPPERMINT FLAVORED
189,WHISKY OTHER FLAVORED
190,OTHER IMPORTED WHISKY
191,OTHER IMPORTED WHISKY FB
192,OTHER IMPORTED WHISKY USB
197,DILUTED OTHER IMPORTED WHISKY FB
198,DILUTED OTHER IMPORTED WHISKY USB
199,AMERICAN SINGLE MALT WHISKEY - BIB
200,DISTILLED GIN
201,LONDON DRY DISTILLED GIN
209,OTHER DISTILLED GIN
210,GIN
211,LONDON DRY GIN
219,OTHER GIN
230,GIN - FLAVORED
231,GIN - MINT FLAVORED
232,GIN - ORANGE FLAVORED
233,GIN - LEMON FLAVORED
239,OTHER GIN - FLAVORED
248,DILUTED GIN
250,DISTILLED GIN
251,LONDON DRY DISTILLED GIN FB
252,LONDON DRY DISTILLED GIN USB
258,OTHER DISTILLED GIN FB
259,OTHER DISTILLED GIN USB
260,GIN
261,LONDON DRY GIN FB
262,LONDON DRY GIN USB
268,OTHER GIN FB
269,OTHER GIN USB
280,GIN - FLAVORED
